"Context","Source/Translation"
"CODE","pl"
"NAME","Polski"
"TMCE_NAM","Transfer Manager"
"tabTransferManager","Transfer Manager"
"tabGeneral","Ogólne"
"tabWarehouses","Ciężarówki"
"tabServices","Usługi"
"DEBUGPROFILE","Własne ustawienia Transfer Manager"
"optionEnableNewTransferManager","Włącz własne ustawienia Transfer Manager"
"GROUP_SERVICE_OPTIONS","Opcje usługi"
"optionPreferLocalService","Preferuj usługi lokalne"
"optionPreferLocalService_txt","Poprawa usług lokalnych poprzez dopasowywanie żądań o niskim priorytecie tylko do budynków usługowych w tej samej dzielnicy (lub w jakichkolwiek dzielnicach). Gdy niespełnione żądania osiągną wysoki priorytet, zostaną one obsłużone przez pobliskie usługi. Dotyczy to: śmieci, policji, opieki zdrowotnej, czyszczenia miasta, poczty, taxi."
"GROUP_WAREHOUSE_OPTIONS","Opcje magazynu"
"optionWarehouseFirst","Match Warehouse Offers First"
"optionWarehouseFirst_txt","This option will match incoming warehouse offers early in the matching process which will result in most goods transfers occurring through warehouses."
"optionWarehouseReserveTrucks","Zarezerwuj ciężarówki z magazynu dla transportu lokalnego"
"optionWarehouseReserveTrucks_txt","Zalecane do włączenia z Najpierw magazyn: zarezerwowanie procentowego udziału ciężarówek w magazynie do zaspokojenia potrzeb miasta, blokuje to używanie wszystkich ciężarówek do eksportu."
"txtNewWarehouseReserveTrucks","This option will lower the OUT offer priority when the remaining truck count is less than this percentage. Which has the effect of reserving truck capacity for satisfying high priority local demand."
"optionNewWarehouseTransfer","Ulepszony transport między magazynami"
"txtNewInterWarehouseMatching","Ta opcja pozwala na dokonywanie transportu między magazynami przy niższych priorytetach, ale sprawdza poziom wypełnienia magazynu, aby zagwarantować, że nie będą bezcelowo wysyłać towarów tam i z powrotem bez korzyści."
"GROUP_FACTORY_OPTIONS","Factory Options"
"optionFactoryFirst","Match Factory Offers First"
"optionFactoryFirstText","This option will match incoming factory offers early in the matching process to ensure factories are matched with the closest available offer for improved operation."
"GROUP_EXPORTIMPORT_OPTIONS","Opcje połączeń zewnętrznych"
"GROUP_EXPERIMENTAL_DEATHCARE","Usługi pogrzebowe/Śmieci"
"optionDeathcareExperimental","Ulepszony transport usług pogrzebowych"
"optionGarbageExperimental","Ulepszony transport śmieci"
"optionPoliceExperimental","Ulepszony transport policji"
"txtDeathcareExperimental","By default Cemeteries, Garbage and Police Stations send out a transfer offer for one vehicle at a time. This option changes the offer to be the number of available vehicles, which can result in improved matching.\r\nIt now also increases offer priority when less than 1/2 of vehicles are in use."
