"Context","Source/Translation"
"CODE","de"
"NAME","Deutsch"
"TMCE_NAM","Transfer Manager"
"tabTransferManager","Transfer Manager"
"tabGeneral","Allgemein"
"tabWarehouses","Waren-Lieferungen"
"tabServices","Dienstleistungen"
"DEBUGPROFILE","Benutzerspezifischer Transfer Manager"
"optionEnableNewTransferManager","Benutzerspezifischen Transfer Manager aktivieren"
"GROUP_SERVICE_OPTIONS","Serviceoptionen"
"GROUP_SERVICE_DISTRICT_OPTIONS","Bezirksoptionen"
"optionPreferLocalService","Eigenes Stadtviertel bevorzugen"
"optionPreferLocalService_txt","Weitere Verbesserung der Dienstleistungen, indem Anfragen mit niedriger Priorität nur Dienstleistungsgebäuden im gleichen Stadtviertel (oder außerhalb eines Stadtviertels) zugewiesen werden. Sobald eine Anfrage eine hohe Priorität erhält, wird diese auch an Gebäude außerhalb des eigenen Stadtviertels weitergeleitet. Betrifft: Müll, Polizei, Gesundheitswesen, Straßeninstandsetzung, Post, Taxi."
"txtPreferLocalService","Beschränke Dienste auf lokale Bezirke, indem du Anfragen mit niedriger Priorität nur mit Servicegebäuden innerhalb desselben Bezirks abgleichst. Sobald eine unerfüllte Anfrage hohe Priorität erhält, kann sie von jedem nahe gelegenen Dienstangebot bedient werden."
"txtPreferLocalServiceWarning","Warnung: Dies ist eine leistungsstarke Option. Bitte stelle sicher, dass du Bezirke für jeden deiner Bereiche definiert hast und Dienste in diesen Bezirken verfügbar sind, bevor du diese Option aktivierst."
"GROUP_WAREHOUSE_OPTIONS","Lagerhaus-Optionen"
"optionWarehouseFirst","Lagerangebote zuerst abgleichen"
"optionWarehouseFirst_txt","Diese Option gleicht eingehende Lagerangebote früh im Abgleichprozess ab, was dazu führt, dass die meisten Warentransfers über Lagerhäuser erfolgen."
"optionWarehouseReserveTrucks","Frachtlaster für innerstädtische Anfragen reservieren"
"optionWarehouseReserveTrucks_txt","Empfohlen, wenn Option ""Lagerhäuser zuerst"" aktiviert ist: reserviere x % der Frachtlaster eines Lagerhauses, um innerstädtische Anfragen zu bedienen. Verhindert, dass alle Frachtlaster für den Export verwendet werden."
"txtNewWarehouseReserveTrucks","Diese Option senkt die AUS Angebotspriorität, wenn die verbleibende LKW Anzahl unter diesem Prozentsatz liegt. Dies hat zur Folge, dass LKW Kapazität reserviert wird, um die lokale Nachfrage mit hoher Priorität zu befriedigen."
"optionNewWarehouseTransfer","Verbesserter Transfer zwischen Lagerhäusern"
