"Context","Source/Translation"
"CODE","ru"
"NAME","Русский"
"TMCE_NAM","Transfer Manager"
"tabTransferManager","Управление перевозками"
"tabGeneral","Основное"
"tabWarehouses","Доставка товаров"
"tabServices","Службы"
"DEBUGPROFILE","Custom Transfer Manager"
"optionEnableNewTransferManager","Включить Custom Transfer Manager"
"GROUP_SERVICE_OPTIONS","Настройки служб"
"GROUP_SERVICE_DISTRICT_OPTIONS","District Options"
"optionPreferLocalService","Предпочитать местные районные службы"
"optionPreferLocalService_txt","Дальнейшее улучшение локализации услуг путём сопоставления запросов с низким приоритетом только со служебными зданиями в том же районе (или за пределами любого района). Как только невыполненный запрос становится высокоприоритетным, он будет обслуживаться любой ближайшей службой. Включает: вывоз мусорю, полиция, здравоохранение, техобслуживание, почту, такси."
"txtPreferLocalService","Restrict services to local districts by matching low priority requests only with service buildings within the same district. Once an unfulfilled request becomes high priority, it will be allowed to be served by any nearby service offer."
"txtPreferLocalServiceWarning","Warning: This is a powerful option, please ensure you have defined districts for each of your areas and have services available within these districts before enabling this option."
"GROUP_WAREHOUSE_OPTIONS","Настройки склада"
"optionWarehouseFirst","Сначала предложения со склада"
"optionWarehouseFirst_txt","Этот параметр будет сопоставлять поступающие складские предложения на ранней стадии процесса сопоставления, что приведет к тому, что большинство перемещений товаров будет происходить через склады."
"optionWarehouseReserveTrucks","Резерв грузовых автомобилей склада для местных перевозок"
"optionWarehouseReserveTrucks_txt","Рекомендуется включить с Warehouse First: зарезервируйте процент вместимости складских грузовиков для удовлетворения потребностей города, запретив использование всех грузовиков для экспорта."
"txtNewWarehouseReserveTrucks","Этот параметр понизит приоритет предложения ВНЕ, когда количество оставшихся грузовиков меньше этого процента. Это приводит к резервированию грузовых мощностей для удовлетворения высокоприоритетного местного спроса."
"optionNewWarehouseTransfer","Улучшенная межскладская передача"
"txtNewInterWarehouseMatching","Этот параметр позволяет выполнять перемещения между складами с более низким приоритетом, но проверяет уровни хранения, чтобы склады не бесцельно отправляли товары туда и обратно без какой-либо выгоды."
"GROUP_FACTORY_OPTIONS","Настройки производства"
"optionFactoryFirst","Сначала предложения от производства"
"optionFactoryFirstText","Эта опция будет сопоставлять поступающие заказы от заводов на ранней стадии процесса согласования, чтобы обеспечить заводы ближайшим доступным предложением, для улучшения работы."
"GROUP_EXPORTIMPORT_OPTIONS","Параметры внешних соединений"
"GROUP_EXPERIMENTAL_DEATHCARE","Ритуальные службы/Вывоз мусора"
"optionDeathcareExperimental","Улучшенные перемещения катафалков"
"optionGarbageExperimental","Улучшенные перемещения мусоровозов"
"optionPoliceExperimental","Улучшенные перемещения полиции"
"optionImprovedMailTransfers","Improved Mail Transfers"
