"Context","Source/Translation"
"CODE","en"
"NAME","English"
"TMCE_NAM","Transfer Manager"
"tabTransferManager","Transfer Manager"
"tabGeneral","General"
"tabWarehouses","Goods Delivery"
"tabServices","Services"
"DEBUGPROFILE","Custom Transfer Manager"
"optionEnableNewTransferManager","Enable Custom Transfer Manager"
"GROUP_SERVICE_OPTIONS","Service Options"
"GROUP_SERVICE_DISTRICT_OPTIONS","District Options"
"optionPreferLocalService","Prefer local district services"
"optionPreferLocalService_txt","Further improve locality of services by matching low priority requests only with service buildings within the same district (or outside any district). Once an unfulfilled requests becomes high priority, it will be served by any nearby service offer though. Affects: garbage, police, health care, maintenance, mail, taxi."
"txtPreferLocalService","Restrict services to local districts by matching low priority requests only with service buildings within the same district. Once an unfulfilled request becomes high priority, it will be allowed to be served by any nearby service offer."
"txtPreferLocalServiceWarning","Warning: This is a powerful option, please ensure you have defined districts for each of your areas and have services available within these districts before enabling this option."
"GROUP_WAREHOUSE_OPTIONS","Warehouse Options"
"optionWarehouseFirst","Match Warehouse Offers First"
"optionWarehouseFirst_txt","This option will match incoming warehouse offers early in the matching process which will result in most goods transfers occurring through warehouses."
"optionWarehouseReserveTrucks","Reserve warehouse cargo trucks for local transfers"
"optionWarehouseReserveTrucks_txt","Recommended to enable with Warehouse First: reserve a percentage of warehouse truck capacity for satisfying city demand, prevents all trucks being used for export."
"txtNewWarehouseReserveTrucks","This option will lower the OUT offer priority when the remaining truck count is less than this percentage. Which has the effect of reserving truck capacity for satisfying high priority local demand."
"optionNewWarehouseTransfer","Improved Inter-Warehouse Transfer"
"txtNewInterWarehouseMatching","This option allows inter-warehouse transfers to occur at lower priorities but checks the storage levels to ensure warehouses don't aimlessly send goods back and forth for no benefit."
"GROUP_FACTORY_OPTIONS","Factory Options"
"optionFactoryFirst","Match Factory Offers First"
"optionFactoryFirstText","This option will match incoming factory offers early in the matching process to ensure factories are matched with the closest available offer for improved operation."
"GROUP_EXPORTIMPORT_OPTIONS","Outside Connection Options"
"GROUP_EXPERIMENTAL_DEATHCARE","Death Care/Garbage"
"optionDeathcareExperimental","Improved Death Care Transfers"
"optionGarbageExperimental","Improved Garbage Transfers"
"optionPoliceExperimental","Improved Police Transfers"
"optionImprovedMailTransfers","Improved Mail Transfers"
"txtDeathcareExperimental","By default Cemeteries, Garbage and Police Stations send out a transfer offer for one vehicle at a time. This option changes the offer to be the number of available vehicles, which can result in improved matching.\r\nIt now also increases offer priority when less than 1/2 of vehicles are in use."
"GROUP_TRANSFERISSUE_PANEL","Transfer Issue Panel"
"keyOpenTransferIssuePanel","Open Transfer Issue Panel"
"optionShowIssuesWithVehiclesOnRoute","Show issues with vehicles on route"
"sliderTransferIssueDeleteResolvedDelay","Delete resolved delay"
"GROUP_STATISTICS_PANEL","Statistics Panel"
"keyOpenStatisticsPanel","Open Statistics Panel"
"StatisticsPanelEnabled","Enable Statistics"
"btnResetTransferManagerSettings","Reset All Transfer Manager Settings"
"btnResetPathingStatistics","Reset Pathing"
"buttonResetTransferStatistics","Reset Transfer Statistics"
"tabBuildingPanelSettings","Settings"
"GROUP_BUILDINGPANEL_SERVICES","Service Options"
"GROUP_BUILDINGPANEL_OUTSIDE_CONNECTIONS","Outside Connections"
"dropdownBuildingPanelImportExport","Import/Export"
"GROUP_BUILDINGPANEL_GOODS_DELIVERY","Goods Delivery Options"
"chkBuildingPanelReserveWarehouseTrucks","Reserve warehouse cargo trucks for local transfers"
"tabBuildingPanelStatus","Status"
"listBuildingPanelStatusColumn1","Material"
"listBuildingPanelStatusColumn2","Value"
"listBuildingPanelStatusColumn3","Responder"
"listBuildingPanelStatusColumn4","Vehicle"
"listBuildingPanelStatusColumn5","Timer"
"tabBuildingPanelTransfers","Transfers"
"labelBuildingPanelOffers","Transfer Offers"
"labelBuildingPanelMatchOffers","Matches"
"listBuildingPanelOffersColumn1","In/Out"
"listBuildingPanelOffersColumn2","Material"
"listBuildingPanelOffersColumn3","Priority"
"listBuildingPanelOffersColumn4","Active"
"listBuildingPanelOffersColumn5","Amount"
"listBuildingPanelOffersColumn6","Description"
"listBuildingPanelMatchesColumn1","Time"
"listBuildingPanelMatchesColumn2","Material"
"listBuildingPanelMatchesColumn3","Active"
"listBuildingPanelMatchesColumn4","Amount"
"listBuildingPanelMatchesColumn5","Δ"
"listBuildingPanelMatchesColumn6","Description"
"titleTransferIssuesPanel","Transfer Issues"
"tabTransferIssuesPathing","Pathing"
"listPathingColumn1","Time"
"listPathingColumn2","Source"
"listPathingColumn3","Target"
"tabTransferIssuesDead","Dead"
"listDeadColumn1","Dead"
"listDeadColumn2","Timer"
"listDeadColumn3","Source"
"listDeadColumn4","Target"
"listDeadColumn5","Vehicle"
"tabTransferIssuesSick","Sick"
"listSickColumn1","Sick"
"listBuildingPanelVehicleTarget","Target"
"dropdownBuildingPanelPreferLocalLabel","District Restrictions"
"dropdownBuildingPanelPreferLocal1","All Districts"
"dropdownBuildingPanelPreferLocal2","Prefer Within District"
"dropdownBuildingPanelPreferLocal3","Within District Only"
"dropdownBuildingPanelPreferLocal4","All Districts, Except For"
"tabTransferIssuesOutside","Outside"
"GROUP_BUILDING_PANEL","Building Panel"
"keyOpenBuildingPanel","Open Building Panel"
"GROUP_LOCALISATION","Localization"
"dropdownLocalization","Language"
"tabBuildingPanelVehicles","Vehicles"
"txtBuildingPanelTransferManagerWarning","Warning: These settings require the Custom Transfer Manager to be enabled."
"tabTransferIssuesGoods","Goods In"
"tabTransferIssuesGoodsOut","Goods Out"
"chkShowIssuesWithVehicles","Show issues with vehicles on route"
"GROUP_BUILDINGPANEL_DISTRICT","District Restrictions"
"dropdownBuildingPanelOutgoingPreferLocalLabel","Outgoing"
"dropdownBuildingPanelIncomingPreferLocalLabel","Incoming"
"chkAllowImport","Allow Import"
"chkAllowExport","Allow Export"
